page_url,image_url,current_filename,current_alt,suggested_alt,suggested_filename
https://brushonblock.com/pages/press-archive-brush-on-block,https://cdn.shopify.com/s/files/1/0408/3481/files/Brush_on_Block_Women_sHealth.com_480x480.jpg?v=1675112147,Brush_on_Block_Women_sHealth.com_480x480.jpg,Women's Health - Brush On Block - Best Refillable Beauty Products,Women's Health - Brush On Block - Best Refillable Beauty Products,brush-on-block-womens-health-----best-refillable-beauty-products.jpg
https://brushonblock.com/pages/press-archive-brush-on-block,https://cdn.shopify.com/s/files/1/0408/3481/files/Brush_on_Block_The_List_480x480.jpg?v=1675112257,Brush_on_Block_The_List_480x480.jpg,The List - Brush On Block - Protect Scalp from Sunburn,The List - Brush On Block - Protect Scalp from Sunburn,brush-on-block-the-list-----protect-scalp-from-sunburn.jpg
https://brushonblock.com/pages/press-archive-brush-on-block,https://cdn.shopify.com/s/files/1/0408/3481/files/Brush-on-Block-Camille-Styles-Oct-2022_480x480.jpg?v=1665815938,Brush-on-Block-Camille-Styles-Oct-2022_480x480.jpg,Camille Styles - Flare-Ups Be Gone - Brush On Block,Camille Styles - Flare-Ups Be Gone - Brush On Block,brush-on-block-camille-styles---flare-ups-be-gone--.jpg
https://brushonblock.com/pages/press-archive-brush-on-block,https://cdn.shopify.com/s/files/1/0408/3481/files/Brush-on-Block-People-9-22_480x480.jpg?v=1662742666,Brush-on-Block-People-9-22_480x480.jpg,"People, Brush On Block, September 2022","People, Brush On Block, September 2022",brush-on-block-people-september-2022.jpg
https://brushonblock.com/pages/press-archive-brush-on-block,https://cdn.shopify.com/s/files/1/0408/3481/files/Brush-on-Block-_In-Pickleball-9-22_480x480.jpg?v=1662743172,Brush-on-Block-_In-Pickleball-9-22_480x480.jpg,InPickleball - The Pickler's Guide to Sun Care - August 2022,InPickleball - The Pickler's Guide to Sun Care - August 2022,brush-on-block-inpickleball---the-picklers-guide-to-sun-care--.jpg
https://brushonblock.com/pages/press-archive-brush-on-block,https://cdn.shopify.com/s/files/1/0408/3481/files/Reader_s_Digest_August_2022_99760d57-1ee5-40d6-80bc-a4a259cbcaac_480x480.png?v=1661287262,Reader_s_Digest_August_2022_99760d57-1ee5-40d6-80bc-a4a259cbcaac_480x480.png,"Readers Digest, 2022, Brush On Block, August 2022","Readers Digest, 2022, Brush On Block, August 2022",brush-on-block-readers-digest-2022-august-2022.png
https://brushonblock.com/pages/press-archive-brush-on-block,https://cdn.shopify.com/s/files/1/0408/3481/files/Skincare_Edit_August_2022_480x480.jpg?v=1661286234,Skincare_Edit_August_2022_480x480.jpg,"Power Sunscreen, SkinCare Edit, August 2022, Brush On Block, Translucent, Touch of Tan","Power Sunscreen, SkinCare Edit, August 2022, Brush On Block, Translucent, Touch of Tan",brush-on-block-power-sunscreen-skincare-edit-august-2022-translucent-touch-of.jpg
https://brushonblock.com/pages/press-archive-brush-on-block,https://cdn.shopify.com/s/files/1/0408/3481/files/new_NBC_Select_translucent_august_2022_480x480.png?v=1661284813,new_NBC_Select_translucent_august_2022_480x480.png,"NBC Select, Brush On Block, August 2022, Powder sunscreen","NBC Select, Brush On Block, August 2022, Powder sunscreen",brush-on-block-nbc-select-august-2022-powder-sunscreen.png
https://brushonblock.com/pages/press-archive-brush-on-block,https://cdn.shopify.com/s/files/1/0408/3481/files/new_NBC_Select_BOB_kids_August_2022_94b91b56-67b1-4748-b6bc-ebf3aa7459f1_480x480.png?v=1661285302,new_NBC_Select_BOB_kids_August_2022_94b91b56-67b1-4748-b6bc-ebf3aa7459f1_480x480.png,"NBC Select, Brush On Block, August 2022, Kids sunscreen","NBC Select, Brush On Block, August 2022, Kids sunscreen",brush-on-block-nbc-select-august-2022-kids-sunscreen.png
https://brushonblock.com/pages/press-archive-brush-on-block,https://cdn.shopify.com/s/files/1/0408/3481/files/NBC_Select_August_2022_480x480.png?v=1660671787,NBC_Select_August_2022_480x480.png,"NBC Select, Brush On Block, August 2022, Kids sunscreen","NBC Select, Brush On Block, August 2022, Kids sunscreen",brush-on-block-nbc-select-august-2022-kids-sunscreen.png
