blog_url,title,internal_link_count,unique_pages_linking,sample_sources
https://brushonblock.com/blogs/news/tagged/healthy-life,Brush on Block® Blog,12,12,https://brushonblock.com/blogs/news; https://brushonblock.com/blogs/news/117704324-5-autumn-skin-care-blunders-you-may-be-making; https://brushonblock.com/blogs/news/4-simple-small-resolutions-with-a-big-impact
https://brushonblock.com/blogs/news/tagged/sensitive-skin,Brush on Block® Blog,12,12,https://brushonblock.com/blogs/news; https://brushonblock.com/blogs/news/117701764-bringing-home-baby-everything-you-need-to-know-about-your-babys-delicate-skin; https://brushonblock.com/blogs/news/117704196-how-to-live-with-sensitive-skin
https://brushonblock.com/blogs/news/tagged/eco-friendly,Brush on Block® Blog,10,10,https://brushonblock.com/blogs/news; https://brushonblock.com/blogs/news/117705860-fantastic-foods-for-boosting-your-skins-spf; https://brushonblock.com/blogs/news/3-ways-brush-on-block-is-eco-friendly
https://brushonblock.com/blogs/news/tagged/dermotologist,Brush on Block® Blog,9,9,https://brushonblock.com/blogs/news; https://brushonblock.com/blogs/news/117700420-5-questions-to-ask-your-dermatologist; https://brushonblock.com/blogs/news/117704708-the-7-best-skincare-products-30-and-under
https://brushonblock.com/blogs/news/tagged/skin-care,Brush on Block® Blog,9,9,https://brushonblock.com/blogs/news; https://brushonblock.com/blogs/news/117644612-true-or-false-mythbusting-skincare-home-remedies; https://brushonblock.com/blogs/news/117703684-fighting-pale-winter-skin-are-sunless-tanners-safe
https://brushonblock.com/blogs/news/tagged/vegan,Brush on Block® Blog,9,9,https://brushonblock.com/blogs/news; https://brushonblock.com/blogs/news/3-ways-brush-on-block-is-eco-friendly; https://brushonblock.com/blogs/news/brush-on-block-is-peta-approved-vegan-animal-test-free
https://brushonblock.com/blogs/news/sun-protection-for-kids-a-dermatologist-moms-guide,Sun Protection for Kids: A Dermatologist Mom&#39;s Guide,9,3,https://brushonblock.com/blogs/news; https://brushonblock.com/blogs/news/how-australia-pushed-back-on-skin-cancer; https://brushonblock.com/blogs/news/skin-cancer-awareness-profile-katie-ostrovsky
https://brushonblock.com/blogs/news/117705924-5-red-hot-sun-protection-mistakes-men-make,5 Red Hot Sun Protection Mistakes Men Make,9,2,https://brushonblock.com/blogs/news/117702532-how-sugary-drinks-affect-your-skin; https://brushonblock.com/blogs/news/117702596-turn-up-how-alcohol-affects-your-skin
https://brushonblock.com/blogs/news/117702596-turn-up-how-alcohol-affects-your-skin,Turn Up: How Alcohol Affects Your Skin,9,2,https://brushonblock.com/blogs/news/117702852-5-fresh-ideas-for-outdoor-spring-fun; https://brushonblock.com/blogs/news/117705924-5-red-hot-sun-protection-mistakes-men-make
https://brushonblock.com/blogs/news/tagged/beauty-tips,Brush on Block® Blog,8,8,https://brushonblock.com/blogs/news; https://brushonblock.com/blogs/news/117703556-central-heating-vs-your-skin-what-to-do-indoors-to-keep-your-skin-healthy; https://brushonblock.com/blogs/news/117703684-fighting-pale-winter-skin-are-sunless-tanners-safe
https://brushonblock.com/blogs/news/how-australia-pushed-back-on-skin-cancer,How Australia Pushed Back on Skin Cancer,8,3,https://brushonblock.com/blogs/news; https://brushonblock.com/blogs/news/sun-protection-for-kids-a-dermatologist-moms-guide; https://brushonblock.com/blogs/news/who-s-the-new-girl-meet-peony
https://brushonblock.com/blogs/news/skin-cancer-awareness-profile-katie-ostrovsky,Skin Cancer Awareness Profile: Katie Ostrovsky,8,3,https://brushonblock.com/blogs/news; https://brushonblock.com/blogs/news/sun-protection-for-kids-a-dermatologist-moms-guide; https://brushonblock.com/blogs/news/why-we-emphasize-sun-protection-even-more-in-may
https://brushonblock.com/blogs/news/why-we-emphasize-sun-protection-even-more-in-may,Why We Emphasize Sun Protection Even More in May,8,3,https://brushonblock.com/blogs/news; https://brushonblock.com/blogs/news/skin-cancer-awareness-profile-katie-ostrovsky; https://brushonblock.com/blogs/news/sunscreen-spray-that-you-can-feel-good-about
https://brushonblock.com/blogs/news/sunscreen-spray-that-you-can-feel-good-about,Sunscreen Spray You Can Feel Good About,8,3,https://brushonblock.com/blogs/news; https://brushonblock.com/blogs/news/happy-earth-day-our-power-our-planet; https://brushonblock.com/blogs/news/why-we-emphasize-sun-protection-even-more-in-may
https://brushonblock.com/blogs/news/happy-earth-day-our-power-our-planet,"Happy Earth Day: Our Power, Our Planet",8,3,https://brushonblock.com/blogs/news; https://brushonblock.com/blogs/news/refilling-is-rewarding; https://brushonblock.com/blogs/news/sunscreen-spray-that-you-can-feel-good-about
https://brushonblock.com/blogs/news/117704836-you-are-what-you-eat,You are What You Eat,8,4,https://brushonblock.com/blogs/news/117644932-surviving-the-teen-years-a-parents-guide-to-teen-skincare; https://brushonblock.com/blogs/news/117700420-5-questions-to-ask-your-dermatologist; https://brushonblock.com/blogs/news/117704708-the-7-best-skincare-products-30-and-under
