product_id,product_title,product_status,image_id,src,alt
4897096794217,Test Product,archived,16312408277097,https://cdn.shopify.com/s/files/1/0408/3481/products/troll-rafe_83b609f3-2ead-4649-8540-00be05c502f5.jpg?v=1613666233,
4897096794217,Test Product,archived,16312408309865,https://cdn.shopify.com/s/files/1/0408/3481/products/1531863950257_70070ebf-a9a8-4966-8cf8-7dc643084aa6.jpg?v=1613666233,
4897096794217,Test Product,archived,16312408342633,https://cdn.shopify.com/s/files/1/0408/3481/products/default-grey_b4ab840a-61a7-42bd-acbb-49b6073343af.jpg?v=1613666233,
4897213251689,Test products,archived,16313053315177,https://cdn.shopify.com/s/files/1/0408/3481/products/troll-rafe_e7047830-225a-4cf6-a8e3-fe947ef3619d.jpg?v=1613678271,
4897213251689,Test products,archived,16313053347945,https://cdn.shopify.com/s/files/1/0408/3481/products/1531863950257_b058d532-0a56-4fc8-9400-58ed35879028.jpg?v=1613678271,
4897213251689,Test products,archived,16313053380713,https://cdn.shopify.com/s/files/1/0408/3481/products/default-grey_e4abaee1-3248-47e0-bae0-a5d2831f3061.jpg?v=1613678271,
6727211057257,Polished & Protected Bundle - SPF 30-32,archived,28905371074665,https://cdn.shopify.com/s/files/1/0408/3481/products/Polished.jpg?v=1635739930,
6727211057257,Polished & Protected Bundle - SPF 30-32,archived,28905371107433,https://cdn.shopify.com/s/files/1/0408/3481/products/Polished_Swatches.png?v=1635739930,
6727214334057,Endless Summer Bundle - SPF 30-32,archived,28905404235881,https://cdn.shopify.com/s/files/1/0408/3481/products/Endless.jpg?v=1635741142,
6727214334057,Endless Summer Bundle - SPF 30-32,archived,28905404268649,https://cdn.shopify.com/s/files/1/0408/3481/products/Endless_Swatches.jpg?v=1635741142,
6727214891113,Self-Care Sunday Bundle,archived,28905417801833,https://cdn.shopify.com/s/files/1/0408/3481/products/self-care.jpg?v=1635741564,
6727214891113,Self-Care Sunday Bundle,archived,28905417834601,https://cdn.shopify.com/s/files/1/0408/3481/products/Self-care_swatches.jpg?v=1635741564,
6727216103529,Family Vacation Bundle,archived,28905433727081,https://cdn.shopify.com/s/files/1/0408/3481/products/FamilyVacay.jpg?v=1635742035,
6727216103529,Family Vacation Bundle,archived,28905433759849,https://cdn.shopify.com/s/files/1/0408/3481/products/Vacay_Swatches.jpg?v=1635742036,
6727217578089,Total Protection Bundle,archived,28905452372073,https://cdn.shopify.com/s/files/1/0408/3481/products/TotalPro.jpg?v=1635742580,
6727217578089,Total Protection Bundle,archived,28905452339305,https://cdn.shopify.com/s/files/1/0408/3481/products/TotalPro_Swatches.jpg?v=1635742579,
6865797775465,The Dad Kit,archived,29753786728553,https://cdn.shopify.com/s/files/1/0408/3481/products/TheDadKit.png?v=1654300224,
6865797775465,The Dad Kit,archived,29753786761321,https://cdn.shopify.com/s/files/1/0408/3481/products/Swatches-translucentpowderandminerallotion.png?v=1654300224,
6865797775465,The Dad Kit,archived,29753818316905,https://cdn.shopify.com/s/files/1/0408/3481/products/ShopifyProductimages-600x600.png?v=1654301499,
6865797775465,The Dad Kit,archived,29753791185001,https://cdn.shopify.com/s/files/1/0408/3481/products/resized-translucentsunscreen_600x_a8caa463-afe2-4ba4-afa1-cc4361822a3f.webp?v=1654301499,
6865797775465,The Dad Kit,archived,29753791217769,https://cdn.shopify.com/s/files/1/0408/3481/products/61CKu11VtjL._SL1500.jpg?v=1654301499,
7021107511401,NOBODY'S PERFECT REPLACEMENT,archived,30744072126569,https://cdn.shopify.com/s/files/1/0408/3481/files/FaceOilontherocks_784417da-0e5e-4128-a9c0-547a921a3fee.jpg?v=1683095317,
7021107511401,NOBODY'S PERFECT REPLACEMENT,archived,30744072159337,https://cdn.shopify.com/s/files/1/0408/3481/files/FaceOil-1_e4565f6f-82de-48fa-9485-3dc9fa7f876b.png?v=1683095317,
7021107511401,NOBODY'S PERFECT REPLACEMENT,archived,30744072192105,https://cdn.shopify.com/s/files/1/0408/3481/files/FaceOil-2_88d22669-bec1-454b-89d4-6187a071f489.png?v=1683095317,
7021107511401,NOBODY'S PERFECT REPLACEMENT,archived,30744072224873,https://cdn.shopify.com/s/files/1/0408/3481/files/faceoilicons_66dcf0ac-7445-4b60-aaa6-3331018ac5d7.jpg?v=1683095317,
7046036226153,Protect Your Pout Bag,archived,30856719237225,https://cdn.shopify.com/s/files/1/0408/3481/files/Brush_On_Block_Protect_Your_Pout_Canvas_Bag_f5a63fb9-021d-400f-81e4-e344ffa29dee.jpg?v=1694622365,
7066384203881,SPF Spa Day Bundle,archived,30957297172585,https://cdn.shopify.com/s/files/1/0408/3481/files/SPFSpaDayBundle.png?v=1698256013,
7066384203881,SPF Spa Day Bundle,archived,30975023415401,https://cdn.shopify.com/s/files/1/0408/3481/files/gift-box-tube.png?v=1698961332,
7066384203881,SPF Spa Day Bundle,archived,30975019712617,https://cdn.shopify.com/s/files/1/0408/3481/files/SPF50brush-blue_55064f2a-ce61-4db0-aed6-25e9c06e3712.jpg?v=1698961332,
