rank,page_url,total_images,missing_alt_content,alt_should_be_empty,decorative_count
81,https://brushonblock.com/blogs/news/refilling-is-rewarding,15,0,0,9
82,https://brushonblock.com/blogs/news/sunscreen-spray-that-you-can-feel-good-about,15,0,0,9
83,https://brushonblock.com/blogs/news/happy-earth-day-our-power-our-planet,15,0,0,9
84,https://brushonblock.com/blogs/news/skin-cancer-awareness-profile-katie-ostrovsky,15,0,0,8
85,https://brushonblock.com/blogs/news/how-australia-pushed-back-on-skin-cancer,15,0,0,8
86,https://brushonblock.com/blogs/news/travis-forrester-evans-photographer-brush-on-block-user,14,0,0,8
87,https://brushonblock.com/blogs/news/brush-on-block-user-dr-lauren-boudreaux-dermatologist,14,0,0,8
88,https://brushonblock.com/blogs/news/founder-and-ceo-andrea-wetsels-sunscreen-story,14,0,0,7
89,https://brushonblock.com/blogs/news/three-favorite-pumpkin-treats-for-your-skin,14,0,0,8
90,https://brushonblock.com/blogs/news/sun-protection-on-snow-and-ice,14,0,0,7
91,https://brushonblock.com/blogs/news/that-uv-index-on-your-phone-what-it-means,14,0,0,7
92,https://brushonblock.com/blogs/news/welcome-to-skin-cancer-awareness-month,14,0,0,7
93,https://brushonblock.com/blogs/news/lip-oil-shade-expansion,14,0,0,8
94,https://brushonblock.com/blogs/news/how-do-i-know-if-im-wearing-enough-brush-on-block,14,0,0,7
95,https://brushonblock.com/blogs/news/we-challenge-you-to-wear-spf-30-every-day,14,0,0,7
96,https://brushonblock.com/blogs/news/spf-sunscreen-tattoos,14,0,0,7
97,https://brushonblock.com/blogs/news/sunscreen-who-invented-sunscreen,14,0,0,7
98,https://brushonblock.com/blogs/news/brush-on-block-is-peta-approved-vegan-animal-test-free,14,0,0,7
99,https://brushonblock.com/blogs/news/what-is-the-pa-rating-system-and-how-can-it-help-me-protect-my-skin,14,0,0,8
100,https://brushonblock.com/blogs/news/talking-sunscreen-with-dermatologist-dr-elizabeth-berry,14,0,0,7
101,https://brushonblock.com/blogs/news/have-a-great-summer,14,0,0,7
102,https://brushonblock.com/blogs/news/welcome-to-summer-playlist,14,0,0,7
103,https://brushonblock.com/blogs/news/no-slip-no-drip-all-grip,14,0,0,7
104,https://brushonblock.com/blogs/news/sunglasses-more-than-just-a-fashionable-accessory,14,0,0,7
105,https://brushonblock.com/blogs/news/self-care-tips-for-winter-weather,14,0,0,7
106,https://brushonblock.com/blogs/news/certified-women-owned-business,14,0,0,7
107,https://brushonblock.com/blogs/news/sunscreen-for-winter-sports,14,0,0,7
