old_filename,new_filename,new_url
star_star_star_star_star.svg,brush-on-block-stars.svg,{{ 'brush-on-block-stars.svg' | asset_url }}
BOB_logo_horiz_2022_SVG_1.svg,brush-on-block-logo-horizontal.svg,{{ 'brush-on-block-logo-horizontal.svg' | asset_url }}
